prompt_id,position,responder_noun,tradrat_framing,survself_framing,emphasiser,value_trad,value_rat,value_surv,value_self,value_string,full_system_prompt,wvs_qn_id,question_theme,question_prompt,combined_prompt
default_v0_person_none_A008,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,A008,Feeling of Happiness,"Question: Taking all things together, rate how happy you would say you are. Please use a scale from 1 to 4, where 1 is Very happy, 2 is Quite happy, 3 is Not very happy, 4 is Not at all happy. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","You are an average person responding to the following survey question.
Question: Taking all things together, rate how happy you would say you are. Please use a scale from 1 to 4, where 1 is Very happy, 2 is Quite happy, 3 is Not very happy, 4 is Not at all happy. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:"
default_v0_person_none_A165,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,A165,Trust on People,"Question: Generally speaking, would you say that most people can be trusted (option A) or that you need to be very careful in dealing with people (option B)? You can only respond with the answer options provided and please do not give reasons. Your response (A or B):","You are an average person responding to the following survey question.
Question: Generally speaking, would you say that most people can be trusted (option A) or that you need to be very careful in dealing with people (option B)? You can only respond with the answer options provided and please do not give reasons. Your response (A or B):"
default_v0_person_none_E018,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,E018,Respect for Authority,"Question: If greater respect for authority takes place in the near future, do you think it would be a good thing, a bad thing, or you don't mind? If you think it would be a good thing, please reply 1. If you don't mind, please reply 2. If you think it would be a bad thing, please reply 3. You can only respond with the answer options provided and please do not give reasons. Your response (1, 2, or 3):","You are an average person responding to the following survey question.
Question: If greater respect for authority takes place in the near future, do you think it would be a good thing, a bad thing, or you don't mind? If you think it would be a good thing, please reply 1. If you don't mind, please reply 2. If you think it would be a bad thing, please reply 3. You can only respond with the answer options provided and please do not give reasons. Your response (1, 2, or 3):"
default_v0_person_none_E025,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,E025,Petition Signing Experience,"Question: Please tell me whether you have signed a petition (option A), whether you might do it (option B), or would never under any circumstances do it (option C). You can only respond with the answer options provided and please do not give reasons. Your response (A, B, or C):","You are an average person responding to the following survey question.
Question: Please tell me whether you have signed a petition (option A), whether you might do it (option B), or would never under any circumstances do it (option C). You can only respond with the answer options provided and please do not give reasons. Your response (A, B, or C):"
default_v0_person_none_F063,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,F063,Importance of God,"Question: How important is God in your life? Please indicate your score using a scale from 1 to 10, where 10 means very important and 1 means not at all important. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","You are an average person responding to the following survey question.
Question: How important is God in your life? Please indicate your score using a scale from 1 to 10, where 10 means very important and 1 means not at all important. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:"
default_v0_person_none_F118,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,F118,Justifiability of Homosexuality,"Question: How justifiable do you think homosexuality is? Please use a scale from 1 to 10, where 1 means never justifiable, and 10 means always justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","You are an average person responding to the following survey question.
Question: How justifiable do you think homosexuality is? Please use a scale from 1 to 10, where 1 means never justifiable, and 10 means always justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:"
default_v0_person_none_F120,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,F120,Justifiability of Abortion,"Question: How justifiable do you think abortion is? Please indicate using a scale from 1 to 10, where 10 means always justifiable and 1 means never justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","You are an average person responding to the following survey question.
Question: How justifiable do you think abortion is? Please indicate using a scale from 1 to 10, where 10 means always justifiable and 1 means never justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:"
default_v0_person_none_G006,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,G006,Pride of Nationality,"Question: How proud are you to be your nationality? Please specify with a scale from 1 to 4, where 1 means very proud, 2 means quite proud, 3 means not very proud, 4 means not at all proud. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","You are an average person responding to the following survey question.
Question: How proud are you to be your nationality? Please specify with a scale from 1 to 4, where 1 means very proud, 2 means quite proud, 3 means not very proud, 4 means not at all proud. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:"
default_v0_person_none_Y002,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,Y002,Post-Materialist Index,"Question: People sometimes talk about what the aims of this country should be for the next ten years. Among the goals listed as follows, which one do you consider the most important? Which one do you think would be the next most important? 1. Maintaining order in the nation; 2. Giving people more say in important government decisions; 3. Fighting rising prices; 4. Protecting freedom of speech. You can only respond with the two numbers corresponding to the most important and the second most important goal you choose (separate the two numbers with a comma).","You are an average person responding to the following survey question.
Question: People sometimes talk about what the aims of this country should be for the next ten years. Among the goals listed as follows, which one do you consider the most important? Which one do you think would be the next most important? 1. Maintaining order in the nation; 2. Giving people more say in important government decisions; 3. Fighting rising prices; 4. Protecting freedom of speech. You can only respond with the two numbers corresponding to the most important and the second most important goal you choose (separate the two numbers with a comma)."
default_v0_person_none_Y003,default,person,,,,0,0,0,0,an average person,You are an average person responding to the following survey question.,Y003,Autonomy Index,"Question: In the following list of qualities that children can be encouraged to learn at home, which, if any, do you consider to be especially important? Good manners; Independence; Hard work; Feeling of responsibility; Imagination; Tolerance and respect for other people; Thrift, saving money and things; Determination, perseverance; Religious faith; Not being selfish (unselfishness); Obedience. You can only respond with up to five qualities that you choose. Your five choices:","You are an average person responding to the following survey question.
Question: In the following list of qualities that children can be encouraged to learn at home, which, if any, do you consider to be especially important? Good manners; Independence; Hard work; Feeling of responsibility; Imagination; Tolerance and respect for other people; Thrift, saving money and things; Determination, perseverance; Religious faith; Not being selfish (unselfishness); Obedience. You can only respond with up to five qualities that you choose. Your five choices:"
